,title,url
0,Jaushua Sotirio strikes late to give Wellington Phoenix their first win - Stuff.co.nz,https://www.stuff.co.nz/sport/football/a-league/124107539/jaushua-sotirio-strikes-late-to-give-wellington-phoenix-their-first-win
1,Professor Avi Loeb: 'It would be arrogant to think we're alone in the universe' - The Guardian,https://amp.theguardian.com/science/2021/jan/31/professor-avi-loeb-it-would-be-arrogant-to-think-were-alone-in-the-universe-
2,Satellites orbiting Earth are increasing like crazy â€” how do we prevent them from crashing? - The Next Web,https://thenextweb.com/space/2021/01/31/satellites-orbiting-earth-are-increasing-like-crazy-how-do-we-prevent-them-from-crashing-syndication/
3,Police seek car that left victim with 'horrific' injuries in Wellington hit-and-run - Stuff.co.nz,https://www.stuff.co.nz/national/crime/124106590/police-seek-car-that-left-victim-with-horrific-injuries-in-wellington-hitandrun
4,Covid 19 coronavirus: Perth plunged into lockdown after confirmed case in community - New Zealand Herald,https://www.nzherald.co.nz/world/covid-19-coronavirus-perth-plunged-into-lockdown-after-confirmed-case-in-community/YZ7WK4INQY3KXAQHXR46JNL2TA/
5,NZ must make a tougher climate pledge to the UN - independent report - Stuff.co.nz,https://www.stuff.co.nz/environment/climate-news/124106119/nz-must-make-a-tougher-climate-pledge-to-the-un---independent-report
6,Oar-wielding woman in Coromandel Peninsula boat rage video is a local teacher - Stuff.co.nz,https://www.stuff.co.nz/national/124107599/oarwielding-woman-in-coromandel-peninsula-boat-rage-video-is-a-local-teacher
7,Carole Middleton bonded with Prince William with a special treat on their first meeting - Express,https://www.express.co.uk/news/royal/1391349/Carole-middleton-prince-william-kate-middleton-duke-duchess-cambridge-pub-dinner-old-boot
8,Australia resumes one-way travel bubble with New Zealand - New Zealand Herald,https://www.nzherald.co.nz/nz/australias-suspension-of-one-way-safe-zone-flights-with-new-zealand-lifted/KLZR3KIODKPA43B6PW4CVMHOMQ/
9,Donald Trump splits with impeachment lawyers one week before trial - New Zealand Herald,https://www.nzherald.co.nz/world/donald-trump-splits-with-impeachment-lawyers-one-week-before-trial/HQUI6M6QYZYGPIRMPZJ67N7UKA/
10,Drivers pull off SH1 as Waikato house engulfed in fire - RNZ,https://www.rnz.co.nz/news/national/435531/drivers-pull-off-sh1-as-waikato-house-engulfed-in-fire
11,iQOO 9 expected to come with a bigger battery capacity - gizmochina,https://www.gizmochina.com/2021/01/31/iqoo-9-expected-to-come-with-a-bigger-battery-capacity/
12,COVID-19: No evidence managed isolation being used as 'back door' for further travel - Chris Hipkins - Newshub,https://www.newshub.co.nz/home/new-zealand/2021/01/covid-19-no-evidence-managed-isolation-being-used-as-back-door-for-further-travel-chris-hipkins.html
13,What to know before the second gun buy-back starts on Monday - Stuff.co.nz,https://www.stuff.co.nz/national/124106172/what-to-know-before-the-second-gun-buyback-starts-on-monday
14,Why has Meghan Markle removed her name from Archie's birth certificate? - Stuff.co.nz,https://www.stuff.co.nz/life-style/life/124105672/why-has-meghan-markle-removed-her-name-from-archies-birth-certificate
15,America's Cup 2021: Luna Rossa helmsman Jimmy Spithill says improvements to come - New Zealand Herald,https://www.nzherald.co.nz/sport/americas-cup-2021-luna-rossa-helmsman-jimmy-spithill-says-improvements-to-come/WBNLPAQYWT26QHMOUZO4EOS2UM/
16,'Visionary' music producer Sophie dies aged 34 - RNZ,https://www.rnz.co.nz/news/world/435523/visionary-music-producer-sophie-dies-aged-34
17,New Zealand backing UK's bid to enter trans-pacific trade pact - Stuff.co.nz,https://www.stuff.co.nz/national/politics/300218412/new-zealand-backing-uks-bid-to-enter-transpacific-trade-pact
18,Warriors likely to go to the market to replace Roger Tuivasa-Sheck in 2022 - Stuff.co.nz,https://www.stuff.co.nz/sport/league/warriors/124103928/warriors-likely-to-go-to-the-market-to-replace-roger-tuivasasheck-in-2022
19,How shooting whales with air rifles is helping scientists study Antarctica's changing environment - 31-Jan-2021 - NZ Education news - NZCity,"https://home.nzcity.co.nz/news/article.aspx?id=326470&cat=983&fm=newsmain,narts"
